question,votes,tags
How do I determine which iOS SDK I have?,98,"ios, xcode, xcodebuild"
Uploading file with parameters using Alamofire,98,"ios, swift, alamofire"
What does warning “Mapping architecture arm64 to x86_64” mean?,98,"ios, swift, xcode, xcode10"
Correct way to load a Nib for a UIView subclass,98,"iphone, ios, objective-c, uiview, xib"
Swift subclass UIView,98,"ios, swift"
Getting reference to the top-most view/window in iOS application,98,"objective-c, uiview, ios, uiwindow"
UISegmentedControl below UINavigationbar in iOS 7,98,"ios, uinavigationbar, uisegmentedcontrol"
Differences between websockets and long polling for turn based game server,98,"ios, web-services, rest, websocket, long-polling"
When to use PNG or JPG in iPhone development?,98,"iphone, ios, png, jpeg"
Sqlite File Location Core Data,97,"ios, objective-c, swift, sqlite, core-data"
Android equivalent to NSNotificationCenter,97,"android, iphone, ios, events, nsnotificationcenter"
How can I detect the touch event of an UIImageView?,97,"ios, iphone, uiimageview, uitouch"
How to get UILabel to respond to tap?,97,"ios, ipad, uilabel"
Xcode “Could not launch”. Only reports “Security” as error,97,"ios, xcode5, enterprise"
How to display the default iOS 6 share action sheet with available share options?,97,"ios, social-framework"
Remove iOS input shadow,97,"ios, css, input"
Capturing touches on a subview outside the frame of its superview using hitTest:withEvent:,97,"objective-c, ios, uiview-hierarchy"
Find all available images for Image(systemName:) in SwiftUI,97,"ios, swift, swiftui, sf-symbols"
NSUserDefaults not cleared after app uninstall on simulator,97,"ios, ios-simulator, nsuserdefaults, ios8, xcode6"
How to parse a JSON file in swift?,97,"ios, swift"
What does get-task-allow do in Xcode?,97,"ios, xcode, debugging, code-signing, entitlements"
Access Asset Catalog programmatically,97,"ios, objective-c, xcode, assets"
Leaking views when changing rootViewController inside transitionWithView,97,"ios, cocoa-touch, uiviewcontroller, core-animation"
Xcode 11 debugger is extremely slow - A known problem?,97,"ios, xcode"
iOS 7 - Failing to instantiate default view controller,96,"ios, iphone, objective-c, xcode, xcode5"
How to create a UIView bounce animation?,96,"ios, iphone, animation, uiview, uikit"
Modify UIImage renderingMode from a storyboard/xib file,96,"ios, ios7, xcode-storyboard"
Could not find a storyboard named 'Main' in bundle,96,"iphone, ios, objective-c, xcode"
Generate your own Error code in swift 3,96,"ios, swift3, nsurlsession"
"iOS Autolayout: two buttons of equal width, side by side",96,"ios, iphone, xcode, autolayout"
No Swipe Back when hiding Navigation Bar in UINavigationController,96,"ios, objective-c, xcode, uinavigationcontroller, uigesturerecognizer"
Xcode 10.2.1 Command PhaseScriptExecution failed with a nonzero exit code,96,"ios, swift, xcode, cocoapods, xcode10.2.1"
How to allow user to pick the image with Swift?,96,"ios, swift, uiimagepickercontroller"
ios Upload Image and Text using HTTP POST,96,"ios, file-upload, curl, http-post, image-uploading"
Cannot create an NSPersistentStoreCoordinator with a nil model,96,"objective-c, ios, core-data"
Bundle.main.path(forResource:ofType:inDirectory:) returns nil,96,"ios, swift, macos, file, swift3"
"UITableView disable swipe to delete, but still have delete in Edit mode?",96,"ios, cocoa-touch, uitableview, uikit"
How to let the app know if it's running Unit tests in a pure Swift project?,96,"ios, swift, xcode, xctest"
iOS: Compare two dates,96,"objective-c, ios, nsdate"
How to get orientation-dependent height and width of the screen?,96,ios
"In iOS, how to drag down to dismiss a modal?",96,"ios, viewcontroller, gesture-recognition"
iphone ios running in separate thread,96,"iphone, multithreading, ios, thread-safety"
How to intercept touches events on a MKMapView or UIWebView objects?,96,"ios, objective-c, cocoa-touch, mkmapview, iphone-sdk-3.0"
is it possible to update UIButton title/text programmatically?,96,"ios, iphone, uibutton, uicontrolstate"
Reading NFC Tags with iPhone 6 / iOS 8,96,"ios, iphone, nfc, ios8, rfid"
Why can't I call the default super.init() on UIViewController in Swift?,96,"ios, objective-c, uiviewcontroller, swift, ios8"
how to add an action on UITextField return key?,96,"ios, objective-c, iphone, swift, uitextfield"
Detect when a presented view controller is dismissed,96,"ios, uiviewcontroller"
WKWebView in Interface Builder,96,"ios, xcode, macos, uiwebview, wkwebview"
Get current date in milliseconds,96,"objective-c, cocoa-touch, ios, date, time"
Custom views with Storyboard,96,"ios, storyboard, xib"
"The iOS deployment target 'IPHONEOS_DEPLOYMENT_TARGET' is set to 8.0, in Flutter How can I change the minimum IOS Deploying Target",96,"ios, xcode, flutter"
iOS Image Orientation has Strange Behavior,96,"iphone, objective-c, ios"
detect ipad/iphone webview via javascript,96,"javascript, ipad, ios, webview"
How to build for armv6 and armv7 architectures with iOS 5,96,"ios, ios5"
Creating iOS/OSX Frameworks: is it necessary to codesign them before distributing to other developers?,96,"ios, code-signing, ios-frameworks"
Can I access the App Store from within the iOS Simulator?,96,"iphone, ios, xcode, app-store"
iPhone and OpenCV,96,"ios, iphone, opencv"
Safari in ios8 is scrolling screen when fixed elements get focus,96,"javascript, ios, css, safari, ios8"
"After switching to Xcode 7, app size grew from 9 MB to 60 MB, is there a fix?",96,"ios, xcode, swift"
Avoid animation of UICollectionView after reloadItemsAtIndexPaths,95,"ios, animation, ios6, uiview, uicollectionview"
Calling a phone number in swift,95,"ios, swift, phone-number, phone-call"
The app delegate must implement the window property if it wants to use a main storyboard file swift,95,"ios, iphone, xcode, swift, simulator"
UITextfield leftView/rightView padding on iOS7,95,"ios, objective-c, uitextfield"
✔ Checkmark selected row in UITableViewCell,95,"ios, uitableview"
How do I pop two views at once from a navigation controller?,95,"ios, iphone, uinavigationcontroller"
Set the maximum character length of a UITextField in Swift,95,"ios, string, swift, uitextfield, character"
how do I use UIScrollView in Interface Builder?,95,"ios, iphone, uiscrollview, interface-builder"
Attributed Text Center Alignment,95,"ios, xcode, label, nsattributedstring, centering"
macOS on VMware doesn't recognize iOS device,95,"ios, macos, vmware"
Check if location services are enabled,95,"ios, swift, location, ios9, swift3"
How to adjust height of UICollectionView to be the height of the content size of the UICollectionView?,95,"ios, swift, uicollectionview, nslayoutconstraint, ios-autolayout"
Xcode linker error: file too small for architecture x86_64,95,"objective-c, ios, xcode, macos, cocoa"
Using Predicate in Swift,95,"ios, objective-c, swift, ios7, predicate"
How to disable horizontal scrolling of UIScrollView?,95,"ios, objective-c, uiscrollview"
ViewController respondsToSelector: message sent to deallocated instance (CRASH),95,"objective-c, ios, xcode, crash"
Remove all constraints affecting a UIView,95,"ios, objective-c, uiview, constraints, autolayout"
How to remove the line separators from a List in SwiftUI without using ForEach?,95,"ios, swift, swiftui"
Unable to run app in Simulator: Xcode beta 6 iOS 8,95,"ios, xcode, swift, ios8"
iOS forces rounded corners and glare on inputs,95,"css, ios, forms"
iOS - 'MyProject-Swift.h' file not found when running Unit Tests for Swift,95,"ios, unit-testing, swift, header"
Editing screenshots in iTunes Connect after iOS app was approved,95,"ios, app-store-connect"
"Since Xcode 8 and iOS10, views are not sized properly on viewDidLayoutSubviews",95,"ios, autolayout, ios10, xcode8"
A build only device cannot be used to run this target,95,"ios, xcode"
Unbalanced calls to begin/end appearance transitions for <FirstViewController: 0x2a2c00>,95,"iphone, ios, transition"
Custom init for UIViewController in Swift with interface setup in storyboard,95,"ios, swift, uiviewcontroller, initialization"
"IB_DESIGNABLE, IBInspectable — Interface builder does not update",95,"ios, interface-builder, ibdesignable, ibinspectable"
Container View Controller Examples [closed],95,"objective-c, ios, uiviewcontroller, ios5"
NavigationLink Works Only for Once,95,"ios, xcode, navigation, swiftui, navigationlink"
Interpret XMP-Metadata in ALAssetRepresentation,95,"ios, ios6, alassetslibrary, cifilter, ciimage"
How can I launch the iOS Simulator from Terminal?,94,"ios, xcode, terminal"
Positioning MKMapView to show multiple annotations at once,94,"ios, objective-c, iphone, cocoa-touch, mapkit"
Why linker link static libraries with errors? iOS,94,"ios, objective-c, swift, static-libraries, static-linking"
iOS Development: How can I induce low memory warnings on device?,94,"iphone, ipad, ios"
UIButton doesn't listen to content mode setting?,94,"ios, uibutton, contentmode"
The document Main.storyboard requires Xcode 8.0 or later,94,"ios, objective-c, xcode, storyboard, ios10"
Swift 3 - device tokens are now being parsed as '32BYTES',94,"ios, swift, swift3"
Programmatically align a toolbar on top of the iPhone keyboard,94,"ios, iphone, cocoa-touch, keyboard"
How to get text in a CATextLayer to be clear,94,"text, ios, core-animation, calayer"
looping through an NSMutableDictionary,94,"objective-c, ios, nsmutabledictionary"
Programmatically set image to UIImageView with Xcode 6.1/Swift,94,"ios, xcode, swift"
Unique values of array in swift [duplicate],94,"ios, swift"
NSArray with NSPredicate using NOT IN,94,"ios, objective-c, nsarray, nspredicate"
Weak and strong property setter attributes in Objective-C,94,"iphone, ios, objective-c, automatic-ref-counting"
Will writeToFile:atomically: overwrite data?,94,"objective-c, ios"
How can I safely delete in my ~/Library/Developer/Xcode/DerivedData directory?,94,"ios, xcode, xcode4"
What's a quick way to test to see a file exists?,94,"ios, iphone, cocoa-touch, nsfilemanager, file-manager"
When to use @objc in Swift?,94,"ios, objective-c, swift, selector, private"
iOS – Run/Debug/Install builds over Wi-Fi,94,"ios, iphone, xcode, ios7, wifi"
"How to create a link for all mobile devices that opens google maps with a route starting at the current location, destinating a given place?",94,"android, html, ios, google-maps, mobile"
How to use Git properly with Xcode?,94,"ios, objective-c, xcode, git"
A html5 web app for mobile safari to upload images from the Photos.app?,94,"iphone, html, file-upload, ios, mobile-safari"
Returning data from async call in Swift function,94,"ios, rest, asynchronous, swift"
Problem setting video frame rate using AVAssetWriter/AVAssetReader,94,"ios, swift, macos, video, video-encoding"
Unable to boot device because it cannot be located on disk,93,"ios, xcode, xcode9.1"
Document directory path of Xcode Device Simulator,93,"ios, ios8, ios-simulator"
How can I change the UISearchBar search text color?,93,"ios, swift, uisearchbar"
'Use of Unresolved Identifier' in Swift,93,"ios, xcode, swift"
Finding out whether a string is numeric or not,93,"iphone, objective-c, cocoa-touch, ios, nsstring"
How to combine two Dictionary instances in Swift?,93,"ios, json, xcode, dictionary, swift"
How to compress of reduce the size of an image before uploading to Parse as PFFile? (Swift),93,"ios, swift, parse-platform, uiimage"
How to fade a UIVisualEffectView and/or UIBlurEffect in and out?,93,"ios, swift, fade, uiblureffect, uivisualeffectview"
Refresh certain row of UITableView based on Int in Swift,93,"ios, uitableview, swift, nsindexpath"
presentViewController:animated:YES view will not appear until user taps again,93,"ios, uiviewcontroller"
ITMS-90809: Deprecated API Usage — Apple will stop accepting submissions of apps that use UIWebView APIs,93,"ios, swift, xcode, uiwebview, wkwebview"
UICollectionView reloadData not functioning properly in iOS 7,93,"ios, uicollectionview, ios7"
"Native iOS app: What do I put in Facebook's developer “iPhone App Store ID” under Settings, Basic?",93,"ios, facebook, facebook-ios-sdk"
iOS Simulator too big [duplicate],93,"ios, ios-simulator"
“Width equals height” constraint in Interface Builder,93,"ios, interface-builder, autolayout, nslayoutconstraint"
How to delete “URL Types” from Xcode?,93,"ios, xcode"
Can I edit an iPad's host file?,93,"ipad, file, ios, edit, hosts"
Basic Drag and Drop in iOS,93,"iphone, ipad, ios, drag-and-drop, touch"
Periodic iOS background location updates,93,"ios, objective-c, core-location, background-task, ios-background-mode"
How to use generic protocol as a variable type,93,"ios, xcode, generics, swift"
